Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.1682,0.2865,0.35,0.1808
0.1852,0.2875,0.35,0.1766
0.1948,0.2932,0.35,0.1815
0.2205,0.269,0.3301,0.2036
0.2811,0.2647,0.296,0.2711
0.2882,0.2437,0.2778,0.2798
0.2865,0.35,0.22,0.286
0.2875,0.35,0.2049,0.2866
0.2932,0.35,0.1913,0.2861
0.269,0.3301,0.1918,0.2678
0.2647,0.296,0.183,0.2357
0.2437,0.2778,0.1791,0.2346
0.35,0.22,0.1808,0.35
0.35,0.2049,0.1766,0.35
0.35,0.1913,0.1815,0.35
0.3301,0.1918,0.2036,0.2816
0.296,0.183,0.2711,0.2514
0.2778,0.1791,0.2798,0.202
0.22,0.1808,0.286,0.2024
0.2049,0.1766,0.2866,0.2183
0.1913,0.1815,0.2861,0.2152
0.1918,0.2036,0.2678,0.2203
0.183,0.2711,0.2357,0.1951
0.1791,0.2798,0.2346,0.1826
0.1808,0.286,0.35,0.1804
0.1766,0.2866,0.35,0.1826
0.1815,0.2861,0.35,0.2099
0.2036,0.2678,0.2816,0.2034
0.2711,0.2357,0.2514,0.2617
0.2798,0.2346,0.202,0.2719
0.286,0.35,0.2024,0.2434
0.2866,0.35,0.2183,0.242
0.2861,0.35,0.2152,0.2395
0.2678,0.2816,0.2203,0.1957
0.2357,0.2514,0.1951,0.1828
0.2346,0.202,0.1826,0.1826
0.35,0.2024,0.1804,0.3261
0.35,0.2183,0.1826,0.348
0.35,0.2152,0.2099,0.35
0.2816,0.2203,0.2034,0.2266
0.2514,0.1951,0.2617,0.2238
0.202,0.1826,0.2719,0.2095
0.2024,0.1804,0.2434,0.2216
0.2183,0.1826,0.242,0.2139
0.2152,0.2099,0.2395,0.1797
0.2203,0.2034,0.1957,0.1499
0.1951,0.2617,0.1828,0.0948
0.1826,0.2719,0.1826,0.0785
0.1804,0.2434,0.3261,0.0992
0.1826,0.242,0.348,0.1431
0.2099,0.2395,0.35,0.2026
0.2034,0.1957,0.2266,0.198
0.2617,0.1828,0.2238,0.2258
0.2719,0.1826,0.2095,0.2355
0.2434,0.3261,0.2216,0.2084
0.242,0.348,0.2139,0.2018
0.2395,0.35,0.1797,0.2154
0.1957,0.2266,0.1499,0.1938
0.1828,0.2238,0.0948,0.1819
0.1826,0.2095,0.0785,0.1856
0.3261,0.2216,0.0992,0.3469
0.348,0.2139,0.1431,0.3447
0.35,0.1797,0.2026,0.35
0.2266,0.1499,0.198,0.2602
0.2238,0.0948,0.2258,0.2558
0.2095,0.0785,0.2355,0.2523
0.2216,0.0992,0.2084,0.2195
0.2139,0.1431,0.2018,0.2115
0.1797,0.2026,0.2154,0.2392
0.1499,0.198,0.1938,0.2183
0.0948,0.2258,0.1819,0.194
0.0785,0.2355,0.1856,0.1839
0.0992,0.2084,0.3469,0.1837
0.1431,0.2018,0.3447,0.1995
0.2026,0.2154,0.35,0.215
0.198,0.1938,0.2602,0.2103
0.2258,0.1819,0.2558,0.2708
0.2355,0.1856,0.2523,0.2743
0.2084,0.3469,0.2195,0.2612
0.2018,0.3447,0.2115,0.2706
0.2154,0.35,0.2392,0.258
0.1938,0.2602,0.2183,0.1977
0.1819,0.2558,0.194,0.1764
0.1856,0.2523,0.1839,0.1819
0.3469,0.2195,0.1837,0.3347
0.3447,0.2115,0.1995,0.35
0.35,0.2392,0.215,0.35
0.2602,0.2183,0.2103,0.2449
0.2558,0.194,0.2708,0.2136
0.2523,0.1839,0.2743,0.2076
0.2195,0.1837,0.2612,0.1957
0.2115,0.1995,0.2706,0.2062
0.2392,0.215,0.258,0.2084
0.2183,0.2103,0.1977,0.1948
0.194,0.2708,0.1764,0.1951
0.1839,0.2743,0.1819,0.1819
